id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
Y1,39491.55,41162.336,42894.188,45218.414,,,,,,,,,,,,,,,,,,,,
Y2,1546150.4,1641608.5,1693343.1,1774569.8,,,,,,,,,,,,,,,,,,,,
Y3,697850.2,742145.25,708586.9,773016.0,,,,,,,,,,,,,,,,,,,,
Y4,191936.17,210379.58,215162.58,228897.8,,,,,,,,,,,,,,,,,,,,
Y5,106479.33,117337.73,156039.11,167643.94,,,,,,,,,,,,,,,,,,,,
Y6,277927.34,288900.3,288653.5,324597.47,,,,,,,,,,,,,,,,,,,,
Y7,268440.9,277627.47,264490.47,288034.88,,,,,,,,,,,,,,,,,,,,
Y8,980121.75,982034.2,1030806.75,1188549.5,,,,,,,,,,,,,,,,,,,,
Y9,358371.9,388410.97,441743.6,474308.53,,,,,,,,,,,,,,,,,,,,
Y10,238307.67,248099.61,275567.56,303742.53,,,,,,,,,,,,,,,,,,,,
Y11,259764.75,277374.84,281556.4,313085.66,,,,,,,,,,,,,,,,,,,,
Y12,206920.06,214103.56,244810.45,273714.22,,,,,,,,,,,,,,,,,,,,
Y13,1975068.2,2188269.8,2324438.0,2465268.0,,,,,,,,,,,,,,,,,,,,
Y14,92124.92,102277.24,116600.61,120258.55,,,,,,,,,,,,,,,,,,,,
Y15,217919.53,227792.42,236795.12,246851.27,,,,,,,,,,,,,,,,,,,,
Y16,133718.0,139597.73,141335.95,149209.86,,,,,,,,,,,,,,,,,,,,
Y17,298478.22,316078.56,325375.0,338933.53,,,,,,,,,,,,,,,,,,,,
Y18,7242078.5,7432161.0,7508126.0,7857441.0,,,,,,,,,,,,,,,,,,,,
Y19,92523.85,99199.13,114318.02,120439.555,,,,,,,,,,,,,,,,,,,,
Y20,176852.84,186844.03,191398.27,200954.56,,,,,,,,,,,,,,,,,,,,
Y21,120333.91,125921.695,137058.5,143847.73,,,,,,,,,,,,,,,,,,,,
Y22,50267.734,51767.344,51031.48,52625.88,,,,,,,,,,,,,,,,,,,,
Y23,2726.9675,2857.7744,2983.5303,3210.2695,,,,,,,,,,,,,,,,,,,,
Y24,2063.533,2146.5295,2214.4473,2356.3872,,,,,,,,,,,,,,,,,,,,
Y25,8805.146,9216.682,9905.018,10534.0625,,,,,,,,,,,,,,,,,,,,
Y26,7477.0005,7787.479,7971.2344,8456.067,,,,,,,,,,,,,,,,,,,,
Y27,7539.411,7903.4614,8214.281,8745.043,,,,,,,,,,,,,,,,,,,,
Y28,3895.8318,4097.6494,4274.0967,4545.8267,,,,,,,,,,,,,,,,,,,,
Y29,17036.723,17967.803,18793.082,20124.438,,,,,,,,,,,,,,,,,,,,
Y30,3203.4724,3387.9841,3510.7097,3744.588,,,,,,,,,,,,,,,,,,,,
Y31,2914.329,3059.7126,3315.488,3513.9185,,,,,,,,,,,,,,,,,,,,
Y32,19240.498,20113.11,20246.904,21410.885,,,,,,,,,,,,,,,,,,,,
Y33,8647.094,9005.97,9394.097,9932.015,,,,,,,,,,,,,,,,,,,,
Y34,9654.034,10186.248,10656.008,11361.965,,,,,,,,,,,,,,,,,,,,
Y35,3310.0198,3553.878,3746.376,3945.167,,,,,,,,,,,,,,,,,,,,
Y36,1115.1301,1185.86,1271.0933,1366.149,,,,,,,,,,,,,,,,,,,,
Y37,6191.929,6584.7954,7047.7246,7374.886,,,,,,,,,,,,,,,,,,,,
Y38,782.3352,826.47186,847.8173,897.8648,,,,,,,,,,,,,,,,,,,,
Y39,1068.9318,1117.8615,1257.2173,1324.7076,,,,,,,,,,,,,,,,,,,,
