ds,y,unique_id
0,1162.0,gold
1,1165.3,gold
2,1181.3,gold
3,1173.4,gold
4,1184.9,gold
5,1185.5,gold
6,1196.6,gold
7,1199.8,gold
8,1196.2,gold
9,1212.9,gold
10,1214.3,gold
11,1212.1,gold
12,1201.5,gold
13,1204.9,gold
14,1215.6,gold
15,1210.8,gold
16,1197.8,gold
17,1189.8,gold
18,1191.1,gold
19,1196.0,gold
20,1211.4,gold
21,1208.3,gold
22,1219.4,gold
23,1220.8,gold
24,1232.1,gold
25,1236.1,gold
26,1239.5,gold
27,1236.8,gold
28,1235.9,gold
29,1225.8,gold
30,1225.4,gold
31,1233.1,gold
32,1241.6,gold
33,1239.1,gold
34,1238.9,gold
35,1238.9,gold
36,1233.3,gold
37,1251.4,gold
38,1258.3,gold
39,1258.8,gold
40,1253.9,gold
41,1250.0,gold
42,1232.9,gold
43,1226.5,gold
44,1225.5,gold
45,1216.1,gold
46,1209.4,gold
47,1203.2,gold
48,1201.4,gold
49,1203.1,gold
50,1202.6,gold
51,1200.7,gold
52,1227.1,gold
53,1230.2,gold
54,1234.0,gold
55,1246.5,gold
56,1249.7,gold
57,1247.2,gold
58,1248.5,gold
59,1255.7,gold
60,1255.6,gold
61,1253.7,gold
62,1248.0,gold
63,1251.2,gold
64,1254.0,gold
65,1258.4,gold
66,1248.5,gold
67,1253.3,gold
68,1257.3,gold
69,1253.9,gold
70,1274.2,gold
71,1278.1,gold
72,1288.5,gold
73,1291.9,gold
74,1294.1,gold
75,1283.4,gold
76,1283.8,gold
77,1289.1,gold
78,1277.5,gold
79,1267.2,gold
80,1264.2,gold
81,1265.9,gold
82,1268.3,gold
83,1255.5,gold
84,1257.0,gold
85,1248.5,gold
86,1228.6,gold
87,1226.9,gold
88,1227.1,gold
89,1216.1,gold
90,1218.9,gold
91,1224.2,gold
92,1227.7,gold
93,1230.0,gold
94,1236.4,gold
95,1258.7,gold
96,1252.8,gold
97,1253.6,gold
98,1261.4,gold
99,1255.5,gold
100,1253.1,gold
101,1256.4,gold
102,1268.1,gold
103,1265.7,gold
104,1265.7,gold
105,1275.4,gold
106,1270.1,gold
107,1280.2,gold
108,1282.7,gold
109,1297.5,gold
110,1293.2,gold
111,1279.5,gold
112,1271.4,gold
113,1268.9,gold
114,1268.6,gold
115,1275.9,gold
116,1254.6,gold
117,1256.5,gold
118,1246.7,gold
119,1243.5,gold
120,1245.8,gold
121,1249.4,gold
122,1256.4,gold
123,1246.4,gold
124,1246.9,gold
125,1249.1,gold
126,1245.8,gold
127,1242.3,gold
128,1219.2,gold
129,1221.7,gold
130,1223.4,gold
131,1223.3,gold
132,1209.7,gold
133,1213.2,gold
134,1214.7,gold
135,1219.1,gold
136,1217.3,gold
137,1227.5,gold
138,1233.7,gold
139,1241.9,gold
140,1242.0,gold
141,1245.5,gold
142,1254.9,gold
143,1254.3,gold
144,1252.1,gold
145,1249.4,gold
146,1260.0,gold
147,1275.3,gold
148,1273.4,gold
149,1279.4,gold
150,1278.4,gold
151,1274.4,gold
152,1264.6,gold
153,1264.7,gold
154,1262.6,gold
155,1279.3,gold
156,1290.1,gold
157,1294.0,gold
158,1290.4,gold
159,1279.7,gold
160,1282.9,gold
161,1292.4,gold
162,1291.6,gold
163,1296.7,gold
164,1291.0,gold
165,1294.7,gold
166,1292.0,gold
167,1297.9,gold
168,1315.3,gold
169,1318.9,gold
170,1314.1,gold
171,1322.2,gold
172,1330.4,gold
173,1344.5,gold
174,1342.6,gold
175,1339.0,gold
176,1350.3,gold
177,1351.2,gold
178,1335.7,gold
179,1332.7,gold
180,1328.0,gold
181,1329.3,gold
182,1325.2,gold
183,1310.8,gold
184,1310.6,gold
185,1316.4,gold
186,1294.8,gold
187,1297.5,gold
188,1311.5,gold
189,1301.7,gold
190,1287.8,gold
191,1288.7,gold
192,1284.8,gold
193,1275.8,gold
194,1274.6,gold
195,1276.8,gold
196,1273.2,gold
197,1274.9,gold
198,1285.0,gold
199,1293.8,gold
200,1288.9,gold
201,1296.5,gold
202,1304.6,gold
203,1303.0,gold
204,1286.2,gold
205,1283.0,gold
206,1290.0,gold
207,1280.5,gold
208,1280.9,gold
209,1278.3,gold
210,1279.0,gold
211,1269.6,gold
212,1271.8,gold
213,1277.7,gold
214,1270.5,gold
215,1277.3,gold
216,1278.1,gold
217,1269.2,gold
218,1281.6,gold
219,1275.8,gold
220,1283.7,gold
221,1287.5,gold
