unique_id,ds,cutoff,y,AutoETS
gold,1161,1160,1.1504949,1.1076131
gold,1162,1161,1.153642,1.1504906
gold,1163,1162,1.1815726,1.1536417
gold,1164,1163,1.1740981,1.1815697
gold,1165,1164,1.2150104,1.1740988
gold,1166,1165,1.1965213,1.2150064
gold,1167,1166,1.2122568,1.1965231
gold,1168,1167,1.2716583,1.2122551
gold,1169,1168,1.2873938,1.2716523
gold,1170,1169,1.2323195,1.2873921
gold,1171,1170,1.209503,1.232325
gold,1172,1171,1.2181575,1.2095053
gold,1173,1172,1.1866865,1.2181567
gold,1174,1173,1.1945543,1.1866897
gold,1175,1174,1.1803924,1.1945535
gold,1176,1175,1.1701642,1.1803938
gold,1177,1176,1.1725246,1.1701653
gold,1178,1177,1.1721312,1.1725243
gold,1179,1178,1.3141441,1.1721313
gold,1180,1179,1.2409741,1.31413
gold,1181,1180,1.2606434,1.2409813
gold,1182,1181,1.228779,1.2606415
gold,1183,1182,1.2303525,1.2287822
gold,1184,1183,1.2083229,1.2303524
gold,1185,1184,1.0281514,1.208325
gold,1186,1185,0.8841716,1.0281694
gold,1187,1186,0.90462774,0.8858152
gold,1188,1187,0.9895994,0.90441006
gold,1189,1188,0.9836986,0.9886312
gold,1190,1189,1.0875529,0.9837547
gold,1191,1190,1.1331859,1.0863731
gold,1192,1191,1.1253182,1.1326897
gold,1193,1192,1.1119429,1.1253971
gold,1194,1193,1.1068289,1.1120872
gold,1195,1194,1.1103694,1.1068853
gold,1196,1195,1.1980948,1.110332
gold,1197,1196,1.2067493,1.1971972
gold,1198,1197,1.1379066,1.2066544
gold,1199,1198,1.1544288,1.1386364
gold,1200,1199,1.2500219,1.1542614
gold,1201,1200,1.2213047,1.2490075
gold,1202,1201,1.2445145,1.2216152
gold,1203,1202,1.2362534,1.2442567
gold,1204,1203,1.2185509,1.2363441
gold,1205,1204,1.3058829,1.2187527
gold,1206,1205,1.1674106,1.3048927
gold,1207,1206,1.1630833,1.1693748
gold,1208,1207,1.1477412,1.1631742
gold,1209,1208,1.1733114,1.1479527
gold,1210,1209,1.1422337,1.1729512
gold,1211,1210,1.1512817,1.14268
gold,1212,1211,1.2012419,1.1511567
gold,1213,1212,1.1528553,1.2005249
gold,1214,1213,1.0029746,1.1535581
gold,1215,1214,0.98212504,1.0049332
gold,1216,1215,1.0309051,0.9824092
gold,1217,1216,1.0875529,1.0302974
gold,1218,1217,1.0899132,1.0868711
gold,1219,1218,0.97583085,1.0898758
gold,1220,1219,0.9833052,0.9771896
gold,1221,1220,0.9844854,0.9832296
gold,1222,1221,0.9274442,0.9844697
gold,1223,1222,0.87000966,0.92813474
gold,1224,1223,1.0041548,0.87066984
gold,1225,1224,1.0096622,1.0023602
gold,1226,1225,1.0458539,1.009568
gold,1227,1226,1.0194969,1.0453748
gold,1228,1227,1.0230373,1.0198338
