ds,y,unique_id
0,16.409,silver
1,16.552,silver
2,16.637,silver
3,16.519,silver
4,16.683,silver
5,16.848,silver
6,16.828,silver
7,16.825,silver
8,16.765,silver
9,17.148,silver
10,17.148,silver
11,17.274,silver
12,17.002,silver
13,17.032,silver
14,17.186,silver
15,17.185,silver
16,16.98,silver
17,16.85,silver
18,17.136,silver
19,17.152,silver
20,17.543,silver
21,17.45,silver
22,17.429,silver
23,17.479,silver
24,17.693,silver
25,17.756,silver
26,17.705,silver
27,17.741,silver
28,17.933,silver
29,17.821,silver
30,17.889,silver
31,17.963,silver
32,18.074,silver
33,18.03,silver
34,18.001,silver
35,18.04,silver
36,17.95,silver
37,18.117,silver
38,18.406,silver
39,18.417,silver
40,18.469,silver
41,18.489,silver
42,17.748,silver
43,17.74,silver
44,17.773,silver
45,17.536,silver
46,17.298,silver
47,17.036,silver
48,16.923,silver
49,16.972,silver
50,16.923,silver
51,16.923,silver
52,17.33,silver
53,17.413,silver
54,17.438,silver
55,17.583,silver
56,17.578,silver
57,17.593,silver
58,17.748,silver
59,18.108,silver
60,18.252,silver
61,18.252,silver
62,18.206,silver
63,18.256,silver
64,18.212,silver
65,18.323,silver
66,18.187,silver
67,18.246,silver
68,18.151,silver
69,17.915,silver
70,18.254,silver
71,18.3,silver
72,18.51,silver
73,18.514,silver
74,18.272,silver
75,18.162,silver
76,18.018,silver
77,17.856,silver
78,17.858,silver
79,17.591,silver
80,17.363,silver
81,17.334,silver
82,17.262,silver
83,16.842,silver
84,16.831,silver
85,16.546,silver
86,16.303,silver
87,16.274,silver
88,16.258,silver
89,16.067,silver
90,16.207,silver
91,16.265,silver
92,16.402,silver
93,16.603,silver
94,16.747,silver
95,16.906,silver
96,16.67,silver
97,16.796,silver
98,17.191,silver
99,17.139,silver
100,17.117,silver
101,17.193,silver
102,17.323,silver
103,17.427,silver
104,17.464,silver
105,17.406,silver
106,17.281,silver
107,17.525,silver
108,17.581,silver
109,17.71,silver
110,17.62,silver
111,17.414,silver
112,17.223,silver
113,16.944,silver
114,16.767,silver
115,17.136,silver
116,16.716,silver
117,16.661,silver
118,16.502,silver
119,16.417,silver
120,16.374,silver
121,16.509,silver
122,16.647,silver
123,16.572,silver
124,16.588,silver
125,16.727,silver
126,16.654,silver
127,16.627,silver
128,16.092,silver
129,15.896,silver
130,15.896,silver
131,15.983,silver
132,15.425,silver
133,15.629,silver
134,15.745,silver
135,15.887,silver
136,15.691,silver
137,15.933,silver
138,16.099,silver
139,16.268,silver
140,16.297,silver
141,16.345,silver
142,16.457,silver
143,16.443,silver
144,16.542,silver
145,16.459,silver
146,16.573,silver
147,16.695,silver
148,16.786,silver
149,16.764,silver
150,16.733,silver
151,16.63,silver
152,16.252,silver
153,16.251,silver
154,16.389,silver
155,16.863,silver
156,17.065,silver
157,17.07,silver
158,17.122,silver
159,16.714,silver
160,16.94,silver
161,17.053,silver
162,17.0,silver
163,17.015,silver
164,16.982,silver
165,17.046,silver
166,16.963,silver
167,17.049,silver
168,17.441,silver
169,17.426,silver
170,17.503,silver
171,17.575,silver
172,17.816,silver
173,17.941,silver
174,17.906,silver
175,17.91,silver
176,18.116,silver
177,18.123,silver
178,17.902,silver
179,17.89,silver
180,17.867,silver
181,17.789,silver
182,17.701,silver
183,17.156,silver
184,17.279,silver
185,17.334,silver
186,17.018,silver
187,16.984,silver
188,17.147,silver
189,16.883,silver
190,16.827,silver
191,16.847,silver
192,16.676,silver
193,16.654,silver
194,16.65,silver
195,16.624,silver
196,16.638,silver
197,16.79,silver
198,16.971,silver
199,17.207,silver
200,17.133,silver
201,17.266,silver
202,17.411,silver
203,17.369,silver
204,17.041,silver
205,16.997,silver
206,17.255,silver
207,17.078,silver
208,17.075,silver
209,16.966,silver
210,16.925,silver
211,16.811,silver
212,16.752,silver
213,16.847,silver
214,16.693,silver
215,17.176,silver
216,17.137,silver
217,16.834,silver
218,17.235,silver
219,16.94,silver
220,17.138,silver
221,16.975,silver
222,16.871,silver
223,17.047,silver
224,17.073,silver
225,16.971,silver
226,17.072,silver
227,17.373,silver
228,16.842,silver
229,16.96,silver
230,17.112,silver
231,16.992,silver
232,17.022,silver
233,17.02,silver
234,16.822,silver
235,16.561,silver
236,16.474,silver
237,16.388,silver
238,16.373,silver
239,16.068,silver
240,15.955,silver
241,15.802,silver
242,15.823,silver
243,15.785,silver
244,15.668,silver
245,15.869,silver
246,15.934,silver
247,16.063,silver
248,16.205,silver
249,16.153,silver
250,16.275,silver
251,16.239,silver
252,16.444,silver
253,16.604,silver
254,16.756,silver
255,16.923,silver
256,17.145,silver
257,17.206,silver
258,17.267,silver
259,17.269,silver
260,17.285,silver
261,17.144,silver
262,17.01,silver
263,17.035,silver
264,16.966,silver
265,17.141,silver
266,17.189,silver
267,17.189,silver
268,17.166,silver
269,16.954,silver
270,17.036,silver
271,16.989,silver
272,16.913,silver
273,17.489,silver
274,17.615,silver
275,17.441,silver
276,17.127,silver
277,17.058,silver
278,17.241,silver
279,17.155,silver
280,16.709,silver
281,16.671,silver
282,16.58,silver
283,16.238,silver
284,16.341,silver
285,16.139,silver
286,16.57,silver
287,16.528,silver
288,16.878,silver
289,16.796,silver
290,16.712,silver
291,16.438,silver
292,16.478,silver
293,16.617,silver
294,16.587,silver
295,16.484,silver
296,16.55,silver
297,16.434,silver
298,16.407,silver
299,16.276,silver
300,16.466,silver
301,16.412,silver
302,16.784,silver
303,16.494,silver
304,16.5,silver
